## Generation 0 
{'collision': 0, 'robot_pos': [60.0, 450.0, -2.8146021366119385], 'dist_obj': -390.0, 'exit_reached': 0.0}
{'collision': 10, 'robot_pos': [209.6186981201172, 574.5753173828125, -0.014601826667785645], 'dist_obj': -535.8857267055924, 'exit_reached': 0.0}
{'dist_obj': -390.0, 'collision': 0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'exit_reached': 0.0}
{'collision': 0, 'robot_pos': [60.0, 450.0, -2.8146021366119385], 'dist_obj': -390.0, 'exit_reached': 0.0}
{'dist_obj': -223.24794301381093, 'collision': 9, 'robot_pos': [16.643413543701172, 278.99737548828125, -2.414602041244507], 'exit_reached': 0.0}
{'dist_obj': -521.3206647283564, 'collision': 10, 'robot_pos': [102.23588562011719, 579.60693359375, 1.7072784900665283], 'exit_reached': 0.0}
{'collision': 10, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0, 'dist_obj': -350.1533519112904}
{'dist_obj': -486.9942763345846, 'collision': 10, 'robot_pos': [18.106163024902344, 545.18896484375, 1.9853981733322144], 'exit_reached': 0.0}
{'collision': 10, 'robot_pos': [16.696935653686523, 433.87481689453125, -2.788757801055908], 'dist_obj': -376.37419423985517, 'exit_reached': 0.0}
{'collision': 0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'exit_reached': 0.0, 'dist_obj': -390.0}
{'collision': 10, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'dist_obj': -350.1533519112904, 'exit_reached': 0.0}
{'collision': 0, 'robot_pos': [101.72262573242188, 429.2582702636719, -2.9809718132019043], 'dist_obj': -371.6079219501741, 'exit_reached': 0.0}
{'dist_obj': -390.0, 'collision': 0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'exit_reached': 0.0}
{'dist_obj': -368.1603457695152, 'collision': 0, 'robot_pos': [69.6678237915039, 428.03338623046875, -2.697786808013916], 'exit_reached': 0.0}
{'collision': 0, 'robot_pos': [60.0, 450.0, -2.8146021366119385], 'exit_reached': 0.0, 'dist_obj': -390.0}
