=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === -192.85 === === === === === === === === === === === === === === === === === === === === === === === === === === -266.03 -269.25 -268.59 -272.22 -280.79 === === === === === === === === === -327.51 -330.68 === === === === -354.52 -361.69 === === === === === === === === === === === -426.21 === === === === === -456.45 === === === === === === === -503.44 -505.55 === === === === === === === === === === 
=== === === === -198.39 === === === === === === === === -197.87 -196.31 === === === === === === === === === === === === === === === === === === === === -243.88 === === === === === -266.45 === === === === === === === === === === === === === -330.79 -337.57 === === === === === -367.55 === === === === === === === === === === === === === === === === === === === -474.29 === === === === -497.37 -502.29 === === === === === === === === === === === 
=== === === === === === === === === === === === === -199.30 === === === === === === === === === === === === === === === === === === === === === === === === === === === -268.23 === === === === === === === === === === === === === === -338.74 -343.17 === === === === -372.01 -372.96 === === === === === === === === === === === === === === === === -462.59 === -471.38 === === === -497.13 -502.09 === === === === === === === === === -557.55 === === 
=== === === === === === === === === === === === -206.45 -206.81 === === === === === === === === === === === === === === === === === === === -246.84 === === === === === === === === === === === === === === === === === === === === === === -344.47 -348.79 === === === === -372.84 -380.07 === === === === === === === === === === === === === === === === === === === === -490.88 -493.86 -496.17 === === === === === === === === === === -559.24 === === 
=== === === === -219.41 === === === === === === === -213.78 -216.03 === === === === === === === === === -225.44 === === === === === === === === -248.71 -251.36 === === === === === === === === === === === === === === === === === === === === === === === -350.42 -355.29 === === === === -382.30 -382.99 === === === === === === === === === === === === === === === === === === === -490.75 === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === -217.54 -217.12 === === === === === === === === === === === === === === === === === === -255.98 === === === === === === === === === === === === === === === === === === === === === === === === -356.45 -358.91 === === === === === -387.21 -392.84 === === === === === === === === === === === === === === === === -483.82 -487.83 -492.14 === === === === === === === === === === === === -565.01 === === 
=== === === === === === === === === === === === === === === === === === === === === === -234.77 -236.80 === === === === === === === -257.95 -260.10 === === === === === === === === === === === === === === === -319.00 === === === === === === === === === -366.60 -365.66 === === === === -394.65 -398.94 === === === === === === === === === === === -456.59 === === === === -483.93 -487.44 === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === -241.41 === === === === === === === -262.40 -261.85 -261.28 === === === === === === === === === === === === === === === === -325.62 === === === === === === === === === -372.23 === === === === === -398.71 -404.60 === === === === === === === === === === -463.15 -464.29 === === -482.36 -484.68 === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -264.74 === === === === === === === === === === === === === === === === === -330.85 === === === === === === === === === -377.14 -376.98 === === === === -403.80 -410.07 -413.88 === === === === === === === === === === === -476.62 -480.06 -482.62 === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -270.12 -269.83 === === === === === === === === === === === === === === === === === === -341.22 === === === === === === === === === -387.28 === === === === === -412.19 -417.47 === -428.58 === === === === === === === === -473.28 -476.97 === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -274.67 -276.26 === === === === === === === === === === === === === === === === === === === -348.97 === === === === === === === === -388.59 -389.61 === === === === -415.70 -420.85 -425.58 === === === === -453.56 === === === -467.73 -473.07 === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -277.89 -280.11 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -394.55 === === === === === -422.09 -430.96 === === === === === === === === -473.78 -475.14 === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -357.03 -357.17 === === === -380.76 === === === === === -401.45 === === === === === -431.80 -434.82 === === === === === === === -476.28 -481.75 === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === -270.11 === === === === === === === === -288.14 -288.22 === === === === === === === === === === === === === === === === === === === === === -363.78 -369.59 === === === === === === === === -410.99 === === === === === -437.25 -440.75 === === === === === === === -479.24 -482.55 === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === -294.87 === === === === === === === === === === === === === === === === === === === === === === === -370.12 -372.86 === === === === === === === === === === === === === === === -446.53 -448.84 === === === === === === === -487.46 -493.18 === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -375.67 === === === === === === === === === === -424.63 === === === === -449.23 -452.81 -456.78 === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -388.58 === === === === === === === === === -430.37 === === === === === -458.85 -458.44 === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -389.67 -391.12 === === === === === === === === === === === === === === -460.30 -462.92 -469.65 === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -333.44 === === === === === === === === === === === === === === === === === === -396.25 === === === === -419.20 === === === === === === === === === === -468.06 -475.78 === === === === === === === === === === === === === === === === === === === === === === === === -598.32 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -407.75 === === -419.44 === === === -438.84 -440.26 === === === === === === -473.09 -480.15 -481.27 === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -412.78 === === === === === === === === === === === === === === === -480.32 -483.82 === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -332.69 === === === === === === === === === === === === === === === === === === === === === === === === === === -418.12 -418.23 === === === === === === === === === -459.72 === === === === === -489.17 -492.74 === === === === === === === === === === === === === === === === === === === === === === -609.32 === === 
=== === === === === === === === === === === -321.32 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -424.89 === === === === === === === === === -470.13 === === === === === -495.24 -496.03 === === === === === === === === === === === === === === === === === === === === === === -611.36 === === 
