=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -420.98 -424.60 -431.80 === === === === === === === -471.63 === === === === === === -508.96 -513.21 === === -529.85 -531.50 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -424.94 === -434.32 === === === === -457.66 === === -473.32 === === === === === === -509.30 -515.81 === === -529.49 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -425.57 -430.22 === -437.00 === === -456.57 -461.06 === -471.28 -472.39 -480.25 === === === === === === === === -527.04 -532.90 -534.19 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -423.02 -425.47 -430.51 === === === === === === === -471.61 === === -483.89 === === -503.08 === === === === -525.33 -529.29 -535.15 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -302.58 -303.43 -311.78 -314.27 -318.71 -326.32 === -335.29 === -345.30 -348.97 === -360.22 === === -374.18 === === === === === === === === === === -428.99 === === === === === === === -465.87 -470.89 === === === === -498.47 === === === === === === -534.82 -536.13 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -303.56 -308.06 -312.56 === -319.82 === === === === -348.26 -349.74 === === === === === === === === === === === === -416.15 -417.49 === === === === === === -455.31 -460.02 -466.19 -469.31 === === === === -491.81 === -502.92 === === -520.34 === === -535.12 -537.44 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -312.77 -313.30 -319.10 === === === === === === === === === === === -378.68 === === === === === === === -413.47 -419.20 === === === === === === === -462.05 -467.25 -467.56 === === === -490.34 === === === === === === === === -537.05 -539.46 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -313.35 -315.97 -322.19 === === === === === === === === === === === -378.47 === === === === === -407.23 -413.84 === === === === === === === === -456.87 -462.43 === === === === === -489.87 === === === === === === === === -536.39 -540.02 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -319.75 -322.78 -328.21 -335.10 === === === === === === === -372.55 === === === === -398.12 === === === === === === === === === === === === -456.44 -462.02 === === === === === === === === === === === -522.88 -528.17 -533.55 -536.58 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -329.34 -332.67 === === === === === -361.57 === === -372.81 === === === === === -402.74 === === === === === === -437.58 === === === -454.86 === === -470.58 === === -484.11 === -492.61 === === === === === === -529.17 -535.65 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -330.04 === === === === -350.81 -356.60 === === === === -377.31 === -389.35 -395.11 -400.13 === === === === === === === === === -449.65 -450.27 -454.97 === === === === === === === === === -508.88 === === -524.26 -527.32 === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -335.88 === === === === === === === === === === === -393.32 === === -404.64 === === === === === === === -442.68 -447.27 === === === === === === === === === === === === === -520.56 -522.95 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -365.90 === === === === === === === -400.85 -409.96 === === === === === -437.60 -440.36 === -448.91 === === === === === === === -489.08 === === -505.41 === -517.46 -519.77 -521.86 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -348.93 === === === === === === -378.47 -381.75 === === === -401.73 === === === -420.17 -425.95 -430.78 -435.63 -438.79 === === === === === === === === === === === === === === -512.87 -514.60 === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -349.45 === === === -364.76 === === === === === === === === === -416.14 -419.26 -421.64 -427.07 === === === === === === === === === -474.56 === === === === === === === -512.76 -515.75 === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -355.44 === === === -375.09 === === === === === === === === -413.94 === -425.41 === -432.44 -439.42 === === === -460.33 === === === -477.13 === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -286.68 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -416.15 -424.06 === === === === -447.95 === -455.18 === === === === === === -485.21 === === -502.92 === === === === === === === === === === -553.83 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -366.01 === === === === === === === -403.19 === === === === -424.97 -425.91 === -438.93 -445.70 -446.28 -450.06 === === === === === === === === === -500.73 -504.71 === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -371.17 === === === -389.79 === === === === === === === -427.29 === === === -446.76 -449.91 -453.68 === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -382.14 === === === === === === === -415.62 === === === -434.74 -439.92 -442.17 -448.21 -454.63 -459.31 === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -386.68 -387.56 === === === === === === === === === === === -441.93 === -448.26 -453.84 -459.34 -463.15 === === === === -490.74 -490.32 === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -388.42 -394.09 === === === === === === === === === === -443.30 -449.48 === -458.08 -460.77 === === === -480.15 === -488.30 === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -395.01 -398.57 === === === === === === -428.59 === === === === === === -458.45 -462.99 === === === -485.76 -487.32 === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -398.62 -398.94 === -412.33 === === -423.95 === === === -441.55 -441.70 === === === -461.14 -466.88 === === -482.66 -483.70 === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -400.72 -409.45 === -417.76 === === === === === === === === === === === === === -477.19 -482.45 === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -411.53 -414.55 === === === === === === === === === === -463.24 === === -476.47 -480.70 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -417.54 === === === === === === === === === === === === -474.46 === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.54 -424.82 === === === === === -451.15 === -459.57 === === -475.75 === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -473.28 -475.27 === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -431.87 -434.93 === === === === === === === === -474.03 -476.41 === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -436.77 -440.32 === === === === === === === === === -480.58 === === === === === === === === === === === === === === === === === === === === === === === === === 
